plate,state,license_type,summons_number,issue_date,violation_time,violation,judgment_entry_date,fine_amount,penalty_amount,interest_amount,reduction_amount,payment_amount,amount_due,precinct,county,issuing_agency,violation_status,summons_image
HMN8423,NY,PAS,4665185232,9/5/19,09:05P,PHTO SCHOOL ZN SPEED VIOLATION,,50,0,0,0,50,0,0,QN,DEPARTMENT OF TRANSPORTATION,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSWk1rNVVSVFJPVkVsNlRXYzlQUT09&locationName=_____________________)
HHJ7538,NY,PAS,4665914254,9/13/19,10:35A,PHTO SCHOOL ZN SPEED VIOLATION,,50,0,0,0,50,0,0,BK,DEPARTMENT OF TRANSPORTATION,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSWk1rNVVhM2hPUkVreFRrRTlQUT09&locationName=_____________________)
HVY3181,NY,PAS,8747454740,6/1/19,02:18P,FAIL TO DSPLY MUNI METER RECPT,9/19/19,35,60,0.14,0.09,95.05,0,28,NY,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSak1FNTZVVEZPUkdNd1RVRTlQUT09&locationName=_____________________)
DNU7468,NY,PAS,4665185189,9/5/19,09:05P,PHTO SCHOOL ZN SPEED VIOLATION,,50,0,0,0,50,0,0,QN,DEPARTMENT OF TRANSPORTATION,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSWk1rNVVSVFJPVkVVMFQxRTlQUT09&locationName=_____________________)
JNC7778,NY,PAS,8783399963,1/22/20,07:42A,REG. STICKER-EXPIRED/MISSING,,65,10,0,0,75,0,88,K,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSak5FMTZUVFZQVkdzeVRYYzlQUT09&locationName=_____________________)
JMD4589,NY,PAS,8783407777,11/12/19,07:14A,NO STANDING-EXC. AUTH. VEHICLE,2/27/20,95,60,0.43,0,155.43,0,67,K,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSak5FMTZVWGRPZW1NelRuYzlQUT09&locationName=_____________________)
AJC3860,NY,PAS,8566934209,11/8/17,03:02P,INSP STICKER-MUTILATED/C'FEIT,,65,0,0,0,65,0,107,Q,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSVk1rNXFhM3BPUkVsM1QxRTlQUT09&locationName=_____________________)
27074MA,NY,COM,8485428778,6/29/17,06:52A,DOUBLE PARKING,,115,0,0,115,0,0,18,NY,TRAFFIC,HEARING HELD-NOT GUILTY,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSUk5FNVVVWGxQUkdNelQwRTlQUT09&locationName=_____________________)
KFL2581,TX,PAS,8566934106,11/8/17,02:00P,FAIL TO DSPLY MUNI METER RECPT,,35,0,0,35,0,0,107,Q,TRAFFIC,HEARING HELD-NOT GUILTY,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSVk1rNXFhM3BPUkVWM1RtYzlQUT09&locationName=_____________________)
T741007C,NY,OMT,8566934210,11/8/17,03:08P,FAIL TO DSPLY MUNI METER RECPT,,35,0,0,35,0,0,107,Q,TRAFFIC,HEARING HELD-NOT GUILTY,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSVk1rNXFhM3BPUkVsNFRVRTlQUT09&locationName=_____________________)
GHA1955,NY,PAS,8554982411,9/5/17,08:57A,NO PARKING-DAY/TIME LIMITS,,60,10,0,0,70,0,114,Q,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSVk1VNUVhelJOYWxGNFRWRTlQUT09&locationName=_____________________)
DHE9640,NY,PAS,4670778031,11/6/19,07:10A,PHTO SCHOOL ZN SPEED VIOLATION,,50,0,0,0,50,0,0,BX,DEPARTMENT OF TRANSPORTATION,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSWk0wMUVZek5QUkVGNlRWRTlQUT09&locationName=_____________________)
49033ME,NY,COM,8485429254,7/1/17,07:17A,FAIL TO DISP. MUNI METER RECPT,,65,0,0,65,0,0,14,NY,TRAFFIC,HEARING HELD-NOT GUILTY,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSUk5FNVVVWGxQVkVreFRrRTlQUT09&locationName=_____________________)
CMD1068,NY,PAS,8783408162,11/14/19,10:11A,NO PARKING-STREET CLEANING,3/5/20,45,60,0.08,0.04,105.04,0,71,K,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSak5FMTZVWGRQUkVVeVRXYzlQUT09&locationName=_____________________)
T636232C,NY,OMT,4666348852,9/16/19,06:48A,PHTO SCHOOL ZN SPEED VIOLATION,,50,0,0,0,50,0,0,QN,DEPARTMENT OF TRANSPORTATION,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSWk1rNXFUVEJQUkdjeFRXYzlQUT09&locationName=_____________________)
HYA1862,NY,PAS,4665185270,9/5/19,09:06P,PHTO SCHOOL ZN SPEED VIOLATION,,50,0,0,0,50,0,0,BK,DEPARTMENT OF TRANSPORTATION,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSWk1rNVVSVFJPVkVrelRVRTlQUT09&locationName=_____________________)
60042ME,NY,COM,4666349200,9/16/19,07:00A,PHTO SCHOOL ZN SPEED VIOLATION,,50,0,0,0,50,0,0,QN,DEPARTMENT OF TRANSPORTATION,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSWk1rNXFUVEJQVkVsM1RVRTlQUT09&locationName=_____________________)
AL557R,NJ,PAS,7571813517,2/24/11,03:56P,NO STANDING-DAY/TIME LIMITS,6/16/11,115,60,116.43,0.3,291.13,0,43,BX,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VG5wVk0wMVVaM2hOZWxWNFRuYzlQUT09&locationName=_____________________)
GXB2381,NY,PAS,8625826337,10/12/18,09:41A,NO PARKING-STREET CLEANING,,45,10,0,0,55,0,23,NY,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSWmVVNVVaM2xPYWsxNlRuYzlQUT09&locationName=_____________________)
87653JA,NY,COM,8610898933,6/23/18,09:41A,FAIL TO DSPLY MUNI METER RECPT,,35,0,0,0,35,0,84,K,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSWmVFMUVaelZQUkd0NlRYYzlQUT09&locationName=_____________________)
HMA7347,NY,PAS,8610898945,6/23/18,09:48A,FAIL TO DSPLY MUNI METER RECPT,,35,0,0,35,0,0,84,K,TRAFFIC,HEARING HELD-NOT GUILTY,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSWmVFMUVaelZQUkdzd1RsRTlQUT09&locationName=_____________________)
HGD3060,NY,PAS,8615026464,2/27/18,09:23A,NO PARKING-DAY/TIME LIMITS,,60,10,0,0,70,0,70,K,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSWmVFNVVRWGxPYWxFeVRrRTlQUT09&locationName=_____________________)
EO1,NY,SPO,8615026452,2/27/18,09:22A,FAIL TO DSPLY MUNI METER RECPT,,35,10,0,45,0,0,70,K,TRAFFIC,ADMIN CLAIM GRANTED,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSWmVFNVVRWGxPYWxFeFRXYzlQUT09&locationName=_____________________)
ENA7350,NY,PAS,8566933242,11/3/17,04:03P,NO PARKING-DAY/TIME LIMITS,,60,0,0,60,0,0,103,Q,TRAFFIC,HEARING HELD-NOT GUILTY,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSVk1rNXFhM3BOZWtrd1RXYzlQUT09&locationName=_____________________)
HFW1085,NY,OMS,8554982216,9/4/17,08:49A,FIRE HYDRANT,,115,0,0,0,115,0,108,Q,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSVk1VNUVhelJOYWtsNFRtYzlQUT09&locationName=_____________________)
HME1653,NY,PAS,8099544985,1/28/17,03:08P,FAIL TO DSPLY MUNI METER RECPT,5/18/17,35,60,2.83,0.17,97.66,0,44,BX,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSQk5VOVVWVEJPUkdzMFRsRTlQUT09&locationName=_____________________)
57716MD,NY,COM,8554983002,9/7/17,08:31A,NO STANDING-DAY/TIME LIMITS,,115,10,0,0,125,0,109,Q,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSVk1VNUVhelJOZWtGM1RXYzlQUT09&locationName=_____________________)
AT832U,NJ,PAS,8485429643,7/5/17,10:09A,NO STANDING-DAY/TIME LIMITS,,115,0,0,0,115,0,14,NY,TRAFFIC,HEARING HELD-GUILTY,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSUk5FNVVVWGxQVkZrd1RYYzlQUT09&locationName=_____________________)
FEW3157,NY,OMS,7697872043,4/6/11,,,,,,,,,,,,,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VG5wWk5VNTZaek5OYWtFd1RYYzlQUT09&locationName=_____________________)
HKN4976,NY,PAS,4665185372,9/5/19,09:07P,PHTO SCHOOL ZN SPEED VIOLATION,,50,0,0,0,50,0,0,QN,DEPARTMENT OF TRANSPORTATION,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSWk1rNVVSVFJPVkUwelRXYzlQUT09&locationName=_____________________)
HHV3105,NY,PAS,8783408976,11/16/19,10:43A,INSP. STICKER-EXPIRED/MISSING,3/5/20,65,60,0.12,0,125.12,0,70,K,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSak5FMTZVWGRQUkdzelRtYzlQUT09&locationName=_____________________)
JEA1788,NY,PAS,8783409180,11/18/19,08:08A,NO PARKING-STREET CLEANING,3/5/20,45,60,0.08,0.03,105.05,0,67,K,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSak5FMTZVWGRQVkVVMFRVRTlQUT09&locationName=_____________________)
ETIL97,FL,PAS,8783410375,11/26/19,09:17A,NO PARKING-STREET CLEANING,,45,60,0,105,0,0,67,K,TRAFFIC,ADMIN REDUCTION,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSak5FMTZVWGhOUkUwelRsRTlQUT09&locationName=_____________________)
T774946C,NY,OMT,4679472091,2/20/20,02:43P,PHTO SCHOOL ZN SPEED VIOLATION,,50,0,0,0,50,0,0,MN,DEPARTMENT OF TRANSPORTATION,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSWk0wOVVVVE5OYWtFMVRWRTlQUT09&locationName=_____________________)
LFX4081,PA,PAS,8783415105,12/28/19,10:48A,NO PARKING-DAY/TIME LIMITS,,60,30,0,0,90,0,71,K,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSak5FMTZVWGhPVkVWM1RsRTlQUT09&locationName=_____________________)
JLJ6390,NY,PAS,8783415737,12/31/19,08:24A,NO PARKING-STREET CLEANING,,45,0,0,0,45,0,67,K,TRAFFIC,HEARING HELD-GUILTY,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSak5FMTZVWGhPVkdONlRuYzlQUT09&locationName=_____________________)
AH58956,AZ,PAS,8620366749,4/10/18,04:30P,DOUBLE PARKING-MIDTOWN COMML,,115,0,0,0,115,0,18,NY,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSWmVVMUVUVEpPYW1Nd1QxRTlQUT09&locationName=_____________________)
67740MG,NY,COM,8482090823,10/2/17,10:54A,NO STANDING-DAY/TIME LIMITS,,115,30,0,0,145,0,18,NY,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSUk5FMXFRVFZOUkdkNVRYYzlQUT09&locationName=_____________________)
GVD6333,NY,PAS,8566933333,11/3/17,06:23P,INSP. STICKER-EXPIRED/MISSING,,65,0,0,0,65,0,103,Q,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSVk1rNXFhM3BOZWsxNlRYYzlQUT09&locationName=_____________________)
AS816N,NJ,PAS,8485429989,7/6/17,07:20A,NO STANDING-EXC. AUTH. VEHICLE,,95,0,0,95,0,0,14,NY,TRAFFIC,HEARING HELD-NOT GUILTY,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSUk5FNVVVWGxQVkdzMFQxRTlQUT09&locationName=_____________________)
HRC5948,NY,PAS,8554983385,9/7/17,03:54P,FAIL TO DSPLY MUNI METER RECPT,,35,10,0,0,45,0,109,Q,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSVk1VNUVhelJOZWswMFRsRTlQUT09&locationName=_____________________)
FLM9340,NY,PAS,8554983488,9/8/17,08:07A,NO PARKING-DAY/TIME LIMITS,,60,10,0,70,0,0,109,Q,TRAFFIC,HEARING HELD-NOT GUILTY,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSVk1VNUVhelJOZWxFMFQwRTlQUT09&locationName=_____________________)
81261MA,NY,COM,4670778183,11/6/19,07:12A,PHTO SCHOOL ZN SPEED VIOLATION,,50,0,0,0,50,0,0,QN,DEPARTMENT OF TRANSPORTATION,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSWk0wMUVZek5QUkVVMFRYYzlQUT09&locationName=_____________________)
HVL3451,NY,PAS,1462287037,10/4/19,02:09A,NO PARKING-STREET CLEANING,,45,0,0,0,45,0,83,K,DEPARTMENT OF SANITATION,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VFZSUk1rMXFTVFJPZWtGNlRuYzlQUT09&locationName=_____________________)
ATE6721,NY,PAS,4663906746,8/23/19,03:55P,PHTO SCHOOL ZN SPEED VIOLATION,,50,25,0,0,75,0,0,BX,DEPARTMENT OF TRANSPORTATION,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSWk1rMTZhM2RPYW1Nd1RtYzlQUT09&locationName=_____________________)
HZU2568,NY,PAS,8747463650,7/26/19,10:31A,NO PARKING-STREET CLEANING,,65,10,0,0,75,0,24,NY,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSak1FNTZVVEpOZWxreFRVRTlQUT09&locationName=_____________________)
FWM1581,NY,PAS,8747510602,8/27/19,11:51A,NO PARKING-STREET CLEANING,,45,0,0,0,45,0,25,NY,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSak1FNTZWWGhOUkZsM1RXYzlQUT09&locationName=_____________________)
GLA9563,NY,PAS,4663853894,8/23/19,12:50P,PHTO SCHOOL ZN SPEED VIOLATION,,50,0,0,0,50,0,0,QN,DEPARTMENT OF TRANSPORTATION,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSWk1rMTZaekZOZW1jMVRrRTlQUT09&locationName=_____________________)
88188,NY,MED,4679473277,2/20/20,04:53P,PHTO SCHOOL ZN SPEED VIOLATION,,50,0,0,0,50,0,0,QN,DEPARTMENT OF TRANSPORTATION,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSWk0wOVVVVE5OZWtrelRuYzlQUT09&locationName=_____________________)
29111ML,NY,COM,8620366750,4/10/18,05:53P,NO STANDING-DAY/TIME LIMITS,,115,0,0,23,92,0,18,NY,TRAFFIC,HEARING HELD-GUILTY REDUCTION,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSWmVVMUVUVEpPYW1NeFRVRTlQUT09&locationName=_____________________)
HFJ1731,NY,PAS,8615026609,2/27/18,12:03P,FAIL TO DSPLY MUNI METER RECPT,,35,10,0,0,45,0,70,K,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSWmVFNVVRWGxPYWxsM1QxRTlQUT09&locationName=_____________________)
XDYU15,NJ,PAS,8485430300,7/6/17,04:11P,FAIL TO DISP. MUNI METER RECPT,,65,10,0,0,75,0,14,NY,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSUk5FNVVVWHBOUkUxM1RVRTlQUT09&locationName=_____________________)
64981MB,NY,COM,8485430372,7/7/17,07:21A,NO STANDING-DAY/TIME LIMITS,,115,0,0,0,115,0,14,NY,TRAFFIC,HEARING HELD-GUILTY,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSUk5FNVVVWHBOUkUwelRXYzlQUT09&locationName=_____________________)
FGW7430,NY,PAS,7697872857,4/8/11,,,,,,,,,,,,,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VG5wWk5VNTZaek5OYW1jeFRuYzlQUT09&locationName=_____________________)
GTD5823,NY,PAS,8554984109,9/11/17,09:38A,NO PARKING-STREET CLEANING,,45,10,0,0,55,0,115,Q,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSVk1VNUVhelJPUkVWM1QxRTlQUT09&locationName=_____________________)
24897TT,NY,TOW,8606497370,5/16/18,08:27A,DOUBLE PARKING,,115,0,0,0,115,0,45,BX,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSWmQwNXFVVFZPZWswelRVRTlQUT09&locationName=_____________________)
69674ME,NY,COM,8485430396,7/7/17,07:26A,NO STANDING-DAY/TIME LIMITS,,115,0,0,0,115,0,14,NY,TRAFFIC,HEARING HELD-GUILTY,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSUk5FNVVVWHBOUkUwMVRtYzlQUT09&locationName=_____________________)
T733516C,NY,OMT,8783416213,1/6/20,07:41A,NO STANDING-DAY/TIME LIMITS,,115,10,0,0,125,0,71,K,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSak5FMTZVWGhPYWtsNFRYYzlQUT09&locationName=_____________________)
JDN1168,NY,PAS,8783417023,1/9/20,11:47A,NO PARKING-STREET CLEANING,,45,0,0,0,45,0,67,K,TRAFFIC,HEARING HELD-GUILTY,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSak5FMTZVWGhPZWtGNVRYYzlQUT09&locationName=_____________________)
JDN1168,NY,PAS,8783417035,1/9/20,11:48A,INSP. STICKER-EXPIRED/MISSING,,65,0,0,0,65,0,67,K,TRAFFIC,HEARING HELD-GUILTY,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSak5FMTZVWGhPZWtGNlRsRTlQUT09&locationName=_____________________)
HMV3868,NY,PAS,8783417631,1/11/20,01:34P,INSP. STICKER-EXPIRED/MISSING,,65,10,0,0,75,0,67,K,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSak5FMTZVWGhPZWxsNlRWRTlQUT09&locationName=_____________________)
T757924C,NY,OMT,8783417825,1/13/20,07:40A,NO STANDING-EXC. AUTH. VEHICLE,,95,0,0,0,95,0,67,K,TRAFFIC,HEARING HELD-GUILTY,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSak5FMTZVWGhPZW1kNVRsRTlQUT09&locationName=_____________________)
EEV5217,NY,PAS,8783418052,1/14/20,07:18A,NO STANDING-DAY/TIME LIMITS,,115,0,0,0,115,0,67,K,TRAFFIC,HEARING HELD-GUILTY,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSak5FMTZVWGhQUkVFeFRXYzlQUT09&locationName=_____________________)
PWD7419,OH,PAS,8482091529,10/5/17,11:25A,NO STANDING-DAY/TIME LIMITS,,115,0,0,115,0,0,18,NY,TRAFFIC,HEARING HELD-NOT GUILTY,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSUk5FMXFRVFZOVkZWNVQxRTlQUT09&locationName=_____________________)
L24JBU,NJ,PAS,8615026658,2/27/18,01:11P,FAIL TO DSPLY MUNI METER RECPT,,35,10,0,45,0,0,70,K,TRAFFIC,HEARING HELD-NOT GUILTY,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSWmVFNVVRWGxPYWxreFQwRTlQUT09&locationName=_____________________)
XDTT54,NJ,PAS,8485430748,7/8/17,07:46A,FAIL TO DISP. MUNI METER RECPT,,65,10,0,0,75,0,17,NY,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSUk5FNVVVWHBOUkdNd1QwRTlQUT09&locationName=_____________________)
FCM6313,NY,PAS,8566933771,11/6/17,03:13P,FAIL TO DSPLY MUNI METER RECPT,,35,0,0,35,0,0,105,Q,TRAFFIC,HEARING HELD-NOT GUILTY,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSVk1rNXFhM3BOZW1NelRWRTlQUT09&locationName=_____________________)
5EW765,MA,PAS,8554984596,9/12/17,03:35P,FAIL TO DSPLY MUNI METER RECPT,,35,10,0,0,45,0,109,Q,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSVk1VNUVhelJPUkZVMVRtYzlQUT09&locationName=_____________________)
GPS6719,NY,PAS,8613963250,2/12/18,02:56P,INSP. STICKER-EXPIRED/MISSING,,65,0,0,0,65,0,63,K,TRAFFIC,HEARING HELD-GUILTY,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSWmVFMTZhekpOZWtreFRVRTlQUT09&locationName=_____________________)
1P79H,NY,OMT,8604925405,2/15/18,02:48A,DOUBLE PARKING,,115,10,0,0,125,0,70,K,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSWmQwNUVhM2xPVkZGM1RsRTlQUT09&locationName=_____________________)
JAU7938,NY,PAS,8783418416,1/16/20,08:29A,NO PARKING-STREET CLEANING,,45,0,0,0,45,0,67,K,TRAFFIC,HEARING HELD-GUILTY,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSak5FMTZVWGhQUkZGNFRtYzlQUT09&locationName=_____________________)
HBC4817,NC,PAS,8783419020,1/18/20,07:49A,NO STANDING-DAY/TIME LIMITS,,115,10,0,0,125,0,67,K,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSak5FMTZVWGhQVkVGNVRVRTlQUT09&locationName=_____________________)
KTS5116,PA,PAS,4660494299,7/26/19,06:33P,PHTO SCHOOL ZN SPEED VIOLATION,10/17/19,50,25,0.32,0.32,75,0,0,QN,DEPARTMENT OF TRANSPORTATION,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSWk1rMUVVVFZPUkVrMVQxRTlQUT09&locationName=_____________________)
HNB9184,NY,PAS,1462287414,9/25/19,07:49A,NO PARKING-STREET CLEANING,,45,10,0,0,55,0,83,K,DEPARTMENT OF SANITATION,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VFZSUk1rMXFTVFJPZWxGNFRrRTlQUT09&locationName=_____________________)
KLA4888,PA,PAS,4663907131,8/23/19,05:44P,PHTO SCHOOL ZN SPEED VIOLATION,,50,25,0,0,75,0,0,BX,DEPARTMENT OF TRANSPORTATION,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSWk1rMTZhM2RPZWtWNlRWRTlQUT09&locationName=_____________________)
HXX5095,NY,PAS,4665185980,9/5/19,09:13P,PHTO SCHOOL ZN SPEED VIOLATION,,50,0,0,0,50,0,0,QN,DEPARTMENT OF TRANSPORTATION,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSWk1rNVVSVFJPVkdzMFRVRTlQUT09&locationName=_____________________)
T651753C,NY,OMT,4666354300,9/16/19,11:00A,PHTO SCHOOL ZN SPEED VIOLATION,,50,0,0,0,50,0,0,BK,DEPARTMENT OF TRANSPORTATION,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSWk1rNXFUVEZPUkUxM1RVRTlQUT09&locationName=_____________________)
63014JM,NY,COM,8620366830,4/11/18,09:32A,NO STANDING-DAY/TIME LIMITS,,115,0,0,23,92,0,14,NY,TRAFFIC,HEARING HELD-GUILTY REDUCTION,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSWmVVMUVUVEpPYW1kNlRVRTlQUT09&locationName=_____________________)
DRR8003,NY,PAS,8563272410,8/23/17,08:51A,NO PARKING-STREET CLEANING,,45,30,0,0,75,0,112,Q,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSVk1rMTZTVE5OYWxGNFRVRTlQUT09&locationName=_____________________)
GYM7471,NY,PAS,8615026749,2/27/18,02:54P,FAIL TO DSPLY MUNI METER RECPT,,35,10,0,0,45,0,70,K,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSWmVFNVVRWGxPYW1Nd1QxRTlQUT09&locationName=_____________________)
NBM13K,NJ,PAS,8563272603,8/24/17,08:40A,NO PARKING-STREET CLEANING,,45,10,0,0,55,0,103,Q,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSVk1rMTZTVE5OYWxsM1RYYzlQUT09&locationName=_____________________)
AUB6463,NY,PAS,8554984213,9/11/17,11:03A,EXPIRED MUNI METER,,35,10,0,0,45,0,110,Q,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSVk1VNUVhelJPUkVsNFRYYzlQUT09&locationName=_____________________)
HFM6668,NY,PAS,8554985011,9/14/17,08:41A,NO PARKING-STREET CLEANING,,45,0,0,0,45,0,114,Q,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSVk1VNUVhelJPVkVGNFRWRTlQUT09&locationName=_____________________)
GKW4111,NY,PAS,8577484579,12/26/17,02:14P,FAIL TO DSPLY MUNI METER RECPT,4/12/18,35,60,3.82,0,98.82,0,109,Q,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSVk0wNTZVVFJPUkZVelQxRTlQUT09&locationName=_____________________)
CFJ7379,NY,PAS,8563273176,8/26/17,08:54A,NO PARKING-STREET CLEANING,,45,30,0,0,75,0,112,Q,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSVk1rMTZTVE5OZWtVelRtYzlQUT09&locationName=_____________________)
HXD7979,NY,PAS,8783419690,1/23/20,08:24A,NO PARKING-STREET CLEANING,,45,10,0,0,55,0,67,K,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSak5FMTZVWGhQVkZrMVRVRTlQUT09&locationName=_____________________)
